Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2019,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,70013,23325,23337.6666666667,0.233340105718064,0.000106094191056563,0.233220048838923,0.233460162597205,6.12535097659622e-05
2019,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,67266,22419,22422,0.224184877231878,1.2670546018467e-05,0.224170539159295,0.224199215304461,7.31534315454145e-06
2019,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,117800,39256,39266.6666666667,0.39260515586401,0.000105409737150832,0.392485873517376,0.392724438210643,6.08583401192406e-05
2020,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,68269,22689,22756.3333333333,0.225498238722286,0.000395336846199537,0.225050872966522,0.225945604478051,0.00022824783457388
2020,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,118639,39541,39546.3333333333,0.391875362914724,0.000395554613923529,0.391427750731581,0.392322975097866,0.000228373562827948
2021,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,119012,39593,39670.6666666667,0.392379353199683,0.000665972937298282,0.391625733876624,0.393132972522743,0.000384499654622169
2022,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,120333,40023,40111,0.393283779469054,0.0010160145400315,0.392134050783406,0.394433508154702,0.000586596268187762
2023,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,121696,40431,40565.3333333333,0.393908658360832,0.00104764792540072,0.392723133129809,0.395094183591854,0.00060485981174606
2021,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,68091,22539,22697,0.224492140917538,0.00150121639109123,0.222793354650022,0.226190927185054,0.000866727687508403
2022,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,68189,22657,22729.6666666667,0.222861234384524,0.000754446957027489,0.222007497283215,0.223714971485833,0.000435580153729115
2023,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,68517,22674,22839,0.221775823316747,0.000894531349237052,0.220763565802797,0.222788080830697,0.000516457915280571
2019,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,44968,14976,14989.3333333333,0.149869861186049,0.000176018968637132,0.149670676972155,0.150069045399942,0.000101624598925129
2020,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,44152,14683,14717.3333333333,0.145837965171185,0.00035049396025793,0.145441343917869,0.146234586424501,0.000202357782304254
2021,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,42995,14297,14331.6666666667,0.141753092925474,0.000218145325589564,0.141506238251069,0.141999947599879,0.000125946262451593
2022,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,41840,13899,13946.6666666667,0.136745312391258,0.000509961034338029,0.136168237155974,0.137322387626543,0.000294426140451281
2023,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,40558,13457,13519.3333333333,0.131279075206328,0.000570677576495303,0.130633292735604,0.131924857677052,0.000329480852410046
2020,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,71687,23846,23895.6666666667,0.236788433191805,0.000499956531092687,0.236222679117698,0.237354187265912,0.000288650037809475
2021,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,73211,24358,24403.6666666667,0.241375412957305,0.00100410545435081,0.240239160670751,0.242511665243859,0.000579720554364212
2022,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,75608,25189,25202.6666666667,0.247109673755163,0.000474006516989733,0.246573284886407,0.247646062623919,0.000273667790181659
2023,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,78174,25991,26058,0.253036443116094,0.000865009085413581,0.252057593188596,0.254015293043591,0.000499413228315003
2019,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,246462,82140,82154,0.821411309189657,7.1545535307117e-05,0.821330347794882,0.821492270584432,4.13068340688799e-05
