Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2019,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,70013,23325,23337.6666666667,0.233340105718064,0.000106094191056563,0.233220048838923,0.233460162597205,6.12535097659622e-05
2019,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,67266,22419,22422,0.224184877231878,1.2670546018467e-05,0.224170539159295,0.224199215304461,7.31534315454145e-06
2019,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,117800,39256,39266.6666666667,0.39260515586401,0.000105409737150832,0.392485873517376,0.392724438210643,6.08583401192406e-05
2020,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,67929,22561,22643,0.224206521049948,0.000454625143250503,0.223692064270229,0.224720977829666,0.00026247794883605
2020,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,119008,39624,39669.3333333333,0.392798594356827,0.000522794600746942,0.392206996574022,0.393390192139633,0.00030183560347213
2021,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,119307,39676,39769,0.393042298824653,0.000723880908451937,0.392223150463436,0.393861447185871,0.000417932837355957
2022,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,120432,40085,40144,0.393512570583323,0.00106762106721598,0.392304443614645,0.394720697552,0.000616391310549664
2023,Baseline,Demographics,Highest Level of Education,Medium,Overall,Overall,share,3,121765,40485,40588.3333333333,0.393989308016594,0.00115594618662198,0.392681231766244,0.395297384266943,0.000667385842014923
2021,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,67889,22464,22629.6666666667,0.223649732265047,0.00162081146160249,0.221815611435069,0.225483853095024,0.000935775933661829
2022,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,67981,22572,22660.3333333333,0.222127495265576,0.000789933789170327,0.22123360103337,0.223021389497782,0.00045606848581947
2023,Baseline,Demographics,Highest Level of Education,InEducation,Overall,Overall,share,3,68428,22634,22809.3333333333,0.221407495766245,0.000952219890347052,0.220329957522607,0.222485034009884,0.000549764410019587
2019,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,44968,14976,14989.3333333333,0.149869861186049,0.000176018968637132,0.149670676972155,0.150069045399942,0.000101624598925129
2020,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,44184,14693,14728,0.145834465427219,0.000581764343972309,0.145176137098049,0.14649279375639,0.000335881800597339
2021,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,43037,14294,14345.6666666667,0.141779597748228,0.000396259260637354,0.141331188182264,0.142228007314192,0.000228780390797859
2022,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,41879,13902,13959.6666666667,0.136839669063203,0.000549473825402993,0.136217880895626,0.137461457230781,0.000317238861009071
2023,Baseline,Demographics,Highest Level of Education,Low,Overall,Overall,share,3,40568,13451,13522.6666666667,0.131263999851222,0.000705070326878485,0.130466137666901,0.132061862035543,0.000407072543020911
2020,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,71854,23851,23951.3333333333,0.237160419166006,0.00085364716366053,0.236194426463331,0.238126411868681,0.000492853419732368
2021,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,73315,24366,24438.3333333333,0.241528371162072,0.00128375336958922,0.240075667469202,0.242981074854943,0.000741175353505424
2022,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,75752,25236,25250.6666666667,0.247520265087898,0.00028282494256758,0.247200218536717,0.247840311639079,0.000163289056724933
2023,Baseline,Demographics,Highest Level of Education,High,Overall,Overall,share,3,78296,26032,26098.6666666667,0.253339196365939,0.000801631518627743,0.252432064906721,0.254246327825158,0.000462822173070616
2019,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,246462,82140,82154,0.821411309189657,7.1545535307117e-05,0.821330347794882,0.821492270584432,4.13068340688799e-05
